member_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,dti,fico_range_low,fico_range_high,loan_status
1296599,5000,5000, 36 months,10.65%,162.87,B,RENT,24000,27.65,735,739,Fully Paid
1314167,2500,2500, 60 months,15.27%,59.83,C,RENT,30000,1,740,744,Charged Off
1313524,2400,2400, 36 months,15.96%,84.33,C,RENT,12252,8.72,735,739,Fully Paid
1277178,10000,10000, 36 months,13.49%,339.31,C,RENT,49200,20,690,694,Fully Paid
1311748,3000,3000, 60 months,12.69%,67.79,B,RENT,80000,17.94,695,699,Current
1311441,5000,5000, 36 months,7.90%,156.46,A,RENT,36000,11.2,730,734,Fully Paid
1304742,7000,7000, 60 months,15.96%,170.08,C,RENT,47004,23.51,690,694,Fully Paid
1288686,3000,3000, 36 months,18.64%,109.43,E,RENT,48000,5.35,660,664,Fully Paid
1306957,5600,5600, 60 months,21.28%,152.39,F,OWN,40000,5.55,675,679,Charged Off
1306721,5375,5375, 60 months,12.69%,121.45,B,RENT,15000,18.08,725,729,Charged Off
1305201,6500,6500, 60 months,14.65%,153.45,C,OWN,72000,16.12,695,699,Fully Paid
1305008,12000,12000, 36 months,12.69%,402.54,B,OWN,75000,10.78,675,679,Fully Paid
1298717,9000,9000, 36 months,13.49%,305.38,C,RENT,30000,10.08,710,714,Charged Off
1304956,3000,3000, 36 months,9.91%,96.68,B,RENT,15000,12.56,705,709,Fully Paid
1303503,10000,10000, 36 months,10.65%,325.74,B,RENT,100000,7.06,720,724,Charged Off
1304871,1000,1000, 36 months,16.29%,35.31,D,RENT,28000,20.31,665,669,Fully Paid
1299699,10000,10000, 36 months,15.27%,347.98,C,RENT,42000,18.6,670,674,Fully Paid
1304884,3600,3600, 36 months,6.03%,109.57,A,MORTGAGE,110000,10.52,760,764,Fully Paid
1294539,6000,6000, 36 months,11.71%,198.46,B,MORTGAGE,84000,18.44,685,689,Fully Paid
1304855,9200,9200, 36 months,6.03%,280.01,A,RENT,77385.19,9.86,755,759,Fully Paid
1284848,20250,20250, 60 months,15.27%,484.63,C,RENT,43370,26.53,725,729,Fully Paid
1269083,21000,21000, 36 months,12.42%,701.73,B,RENT,105000,13.22,705,709,Charged Off
1304821,10000,10000, 36 months,11.71%,330.76,B,OWN,50000,11.18,690,694,Fully Paid
1304810,10000,10000, 36 months,11.71%,330.76,B,RENT,50000,16.01,710,714,Fully Paid
1304634,6000,6000, 36 months,11.71%,198.46,B,RENT,76000,2.4,690,694,Charged Off
1273773,15000,15000, 36 months,9.91%,483.38,B,MORTGAGE,92000,29.44,730,734,Fully Paid
1304679,15000,15000, 36 months,14.27%,514.64,C,RENT,60000,15.22,695,699,Charged Off
1304764,5000,5000, 60 months,16.77%,123.65,D,RENT,50004,13.97,675,679,Charged Off
1304678,4000,4000, 36 months,11.71%,132.31,B,MORTGAGE,106000,5.63,680,684,Fully Paid
1278806,8500,8500, 36 months,11.71%,281.15,B,RENT,25000,12.19,695,699,Fully Paid
1261745,4375,4375, 36 months,7.51%,136.11,A,MORTGAGE,17108,20.34,735,739,Fully Paid
1304608,31825,31825, 36 months,7.90%,995.82,A,MORTGAGE,75000,14.03,760,764,Fully Paid
1299514,10000,10000, 60 months,15.96%,242.97,C,RENT,29120,22.83,690,694,Current
1304289,5000,5000, 36 months,8.90%,158.77,A,RENT,24044,11.93,700,704,Fully Paid
1291365,7000,7000, 36 months,15.96%,245.97,C,RENT,34000,6.35,675,679,Fully Paid
1304589,12400,12400, 36 months,10.65%,403.91,B,RENT,41000,11.8,720,724,Fully Paid
1304255,10800,10800, 36 months,9.91%,348.03,B,RENT,55596,5.5,705,709,Fully Paid
1304251,15000,15000, 36 months,7.90%,469.36,A,RENT,45000,8.48,730,734,Fully Paid
1304250,6000,6000, 36 months,12.42%,200.5,B,RENT,36852,10.62,695,699,Fully Paid
1304237,12500,12500, 60 months,12.69%,282.44,B,RENT,27000,16.04,735,739,Current
1301955,9600,9600, 36 months,7.51%,298.67,A,RENT,68004,6.63,760,764,Fully Paid
1304567,12000,12000, 36 months,7.90%,375.49,A,RENT,62300,16.7,725,729,Fully Paid
1304202,3000,3000, 36 months,18.25%,108.84,D,MORTGAGE,65000,17.39,670,674,Fully Paid
1292332,4400,4400, 36 months,16.77%,156.37,D,RENT,55000,20.01,690,694,Fully Paid
1304526,6000,6000, 36 months,6.03%,182.62,A,MORTGAGE,45600,5.34,790,794,Fully Paid
1282787,14000,14000, 36 months,9.91%,451.15,B,RENT,80000,10,725,729,Fully Paid
1304521,5000,5000, 36 months,8.90%,158.77,A,MORTGAGE,100000,16.33,705,709,Charged Off
1304166,10000,10000, 36 months,10.65%,325.74,B,RENT,27000,11.47,700,704,Fully Paid
1304171,10000,10000, 36 months,6.03%,304.36,A,RENT,60000,12.74,790,794,Fully Paid
1303701,11000,11000, 36 months,6.62%,337.75,A,RENT,70000,10.85,750,754,Fully Paid
1304123,15000,15000, 36 months,9.91%,483.38,B,MORTGAGE,80000,9.12,730,734,Charged Off
1302485,25600,25600, 36 months,9.91%,824.96,B,RENT,110000,15.71,725,729,Fully Paid
1304117,7000,7000, 36 months,10.65%,228.02,B,RENT,40000,7.38,700,704,Fully Paid
1304116,12000,12000, 36 months,15.96%,421.65,C,RENT,50000,20.88,675,679,Charged Off
1303909,12000,12000, 36 months,9.91%,386.7,B,RENT,46000,8.11,730,734,Fully Paid
1303652,21000,21000, 60 months,19.91%,555.33,E,RENT,50000,21.58,680,684,Charged Off
